"","Estimate","Cond..SE","t.value"
"(Intercept)","0.059","0.043","1.391"
"num. specialists","0.011","0.01","1.188"
"Ecological overlap","0.616","0.04","15.336"
"num. species x Ecological overlap","-0.045","0.012","-3.684"
"nu","0.422","",""
"rho","0.13","",""
"lambda (x+y)","0.019","",""
"phi","1e-06","",""
"logLik","1805.866","",""
