"","Estimate","Cond..SE","t.value"
"(Intercept)","-0.018","0.017","-1.027"
"num. species","0.018","0.002","11.595"
"Ecological overlap","0.51","0.008","66.34"
"num. species x Ecological overlap","-0.025","0.002","-12.23"
"nu","0.436","",""
"rho","0.079","",""
"lambda (x+y)","0.006","",""
"phi","1e-06","",""
"logLik","4913.568","",""
