"","Estimate","Cond..SE","t.value"
"(Intercept)","0.128","0.105","1.214"
"num. generalists","-0.042","0.013","-3.193"
"Ecological overlap","1.445","0.052","27.898"
"num. species x Ecological overlap","-0.134","0.019","-7.086"
"nu","0.358","",""
"rho","0.02","",""
"lambda (x+y)","0.036","",""
"phi","3e-06","",""
"logLik","2050.887","",""
